"genero","ano","pop_adulta","uf"
"Mulher",2014,864567,"SE"
"Mulher",2015,879562,"SE"
"Mulher",2016,894096,"SE"
"Mulher",2017,907338,"SE"
"Mulher",2018,920244,"SE"
"Mulher",2019,932810,"SE"
"Homem",2013,16490885,"SP"
"Homem",2014,16723290,"SP"
"Homem",2015,16946898,"SP"
"Homem",2016,17168987,"SP"
"Homem",2017,17373791,"SP"
"Homem",2018,17569093,"SP"
"Homem",2019,17760876,"SP"
"Mulher",2013,17808233,"SP"
"Mulher",2014,18050313,"SP"
"Mulher",2015,18281695,"SP"
"Mulher",2016,18507922,"SP"
"Mulher",2017,18716547,"SP"
"Mulher",2018,18915105,"SP"
"Mulher",2019,19109416,"SP"
"Homem",2013,538054,"TO"
"Homem",2014,548549,"TO"
"Homem",2015,558682,"TO"
"Homem",2016,568159,"TO"
"Homem",2017,577399,"TO"
"Homem",2018,586706,"TO"
"Homem",2019,595765,"TO"
"Mulher",2013,527392,"TO"
"Mulher",2014,538927,"TO"
"Mulher",2015,550185,"TO"
"Mulher",2016,560945,"TO"
"Mulher",2017,571438,"TO"
"Mulher",2018,581958,"TO"
"Mulher",2019,592220,"TO"
