ano,genero,uf,numero,pop_adulta,tx_pop
2014,Feminino,SE,6,864567,0.6939890141539059
2013,Feminino,RO,5,604971,0.826485897671128
2013,Masculino,RO,5,622528,0.8031767245810629
2016,Feminino,AP,5,278982,1.7922303231032826
2017,Feminino,RR,5,191012,2.6176365882771764
2019,Masculino,AP,5,300208,1.6655119117411927
2016,Feminino,AC,5,291121,1.7174989093881925
2016,Masculino,MA,5,2447738,0.20427022826789468
2017,Masculino,TO,4,577399,0.6927618509903897
2013,Feminino,AP,4,253178,1.5799161064547471
2013,Masculino,AM,4,1278695,0.312818928673374
2017,Feminino,MA,4,2613971,0.15302388588090687
2016,Masculino,TO,4,568159,0.7040282737754748
2017,Masculino,PI,4,1193749,0.33507881472570866
2013,Masculino,TO,4,538054,0.7434198054470369
2013,Masculino,SE,4,773617,0.5170517193908614
2018,Feminino,RR,4,201985,1.9803450751293414
2016,Masculino,MT,4,1294016,0.3091151886839112
2015,Feminino,AP,3,270229,1.1101695228861448
2017,Masculino,AC,3,294478,1.018751825263687
2017,Masculino,AP,3,283618,1.057760790923002
2013,Masculino,AL,3,1109561,0.2703772032362349
2014,Feminino,AC,3,275980,1.0870352924124937
2015,Masculino,AP,3,266442,1.1259486117053616
2013,Feminino,AM,3,1279874,0.2343980735603661
2014,Masculino,RR,3,175221,1.7121235468351395
2014,Masculino,AL,3,1124715,0.26673423934063295
2014,Masculino,AC,3,272692,1.100142285068869
2013,Masculino,AP,2,249754,0.8007879753677618
2016,Feminino,RR,2,182849,1.0937987082237255
2015,Feminino,TO,2,550185,0.36351409071494134
2016,Masculino,RR,2,186611,1.0717481820471462
2014,Masculino,SE,2,787222,0.25405794045389996
2013,Masculino,RR,2,170068,1.1760001881600302
2014,Feminino,RR,2,171733,1.1645985337704459
2018,Masculino,RR,1,212649,0.47025850109805356
2018,Masculino,AP,1,292039,0.3424200192440051
2013,Feminino,SE,1,848828,0.11780949733043679
2016,Masculino,AP,1,275144,0.36344605006832786
2013,Feminino,TO,1,527392,0.1896122808082034
2014,Feminino,TO,1,538927,0.18555388763227673
2015,Masculino,RR,1,180579,0.5537742483899014
2014,Masculino,PI,1,1163482,0.0859489016589857
2013,Masculino,AC,0,265626,0.0
2013,Feminino,RR,0,166383,0.0
2016,Masculino,AC,0,287146,0.0
2015,Masculino,AC,0,279837,0.0
2013,Feminino,AC,0,268540,0.0
